@@,name,position
+++,Wilbur Heine.,Senator
+++,Tony Muller,Senator
+++,Tony Aiseia,Senator
+++,Thomas Heine,Senator
+++,Stephen W. Phillip,Senator
+++,Sandy Alfred,Minister of Resources & Development
+++,Peterson Jibas,Vice Speaker of the Nitijela
+++,Ota Kisino,Senator
+++,Minister Christopher J. Loeak,Minister in Assistance to the President
+++,Michael Kabua,Senator
+++,Maynard Alfred,Senator
+++,Kitlang Kabua,Minister of Education
+++,Kenneth A. Kedi,Speaker of the Nitijela
+++,Kalani Kaneko,Senator
+++,John M. Silk,Senator
+++,Joe Bejang,Senator
+++,Jiba B. Kabua,Minister of Public Works
+++,Jemi Nashion,Minister of Internal Affairs
+++,Jack J. Ading,Senator
+++,Honorbale Kessai H. Note,Minister of Justice
+++,Hiroshi Yamamura,Senator
+++,Hilda C. Heine,Senator
+++,Donald F. Capelle,Minister of Transportation & Communication
+++,Dennis Momotaro,Senator
+++,David Kabua,President of the Republic of the Marshall Islands
+++,Casten N. Nemra,Minister of Foreign Affairs
+++,Bruce Bilimon,Minister of Health
+++,Brenson S. Wase,Senator
+++,Atbi A. Riklon,Senator
+++,Alfred Alfred Jr.,Minister of Finance
