position,title
Q3736673,President
Q30688664,Minister in Assistance to the President
Q110030141,Minister of Education
Q110030505,Minister of Finance
Q110030167,Minister of Foreign Affairs
Q110030421,Minister of Health
Q110030516,Minister of Internal Affairs
Q110030050,Minister of Justice
Q110030475,Minister of Natural Resources and Commerce
Q110030534,Minister of Public Works
Q110030265,Minister of Transportation & Communication
Q110030190,Speaker of the Nitijela
